model,crit,learning_rate,delta,preference_recall,preference_precision,indifference_recall,indifference_precision,total_recall,nb_indifferences,nb_preferences,nb_indiff_vrai,nb_indiff_fausse,nb_pref_vrai,nb_pref_fausse,nb_pref_inverse,calc_preference_recall,calc_indifference_recall,calc_preference_precision,calc_indifference_precision,calc_precision_total
L2,game,1e-05,1e-05,0.9224489795918367,1.0,0.0037735849056603774,0.017241379310344827,0.679,265,735,1,264,678,0,57,0.9224489795918367,0.0037735849056603774,0.7197452229299363,0.017241379310344827,0.679
L2,game,1e-05,1e-08,0.9331476323119777,1.0,0.0,0.0,0.67,282,718,0,282,670,0,48,0.9331476323119777,0.0,0.7037815126050421,0.0,0.67
L1,game,1e-05,0.1,0.7546174142480211,0.7586206896551724,0.8016528925619835,0.9797979797979798,0.766,242,758,194,48,572,182,4,0.7546174142480211,0.8016528925619835,0.713216957605985,0.9797979797979798,0.766
L1,game,1e-05,0.01,0.8696236559139785,0.9322766570605188,0.32421875,0.6240601503759399,0.73,256,744,83,173,647,47,50,0.8696236559139785,0.32421875,0.7462514417531718,0.6240601503759399,0.73
L1,game,1e-05,1e-05,0.8629283489096573,1.0,0.0,0.0,0.554,358,642,0,358,554,0,88,0.8629283489096573,0.0,0.6074561403508771,0.0,0.554
L1,game,1e-05,1e-08,0.8382126348228043,1.0,0.0,0.0,0.544,351,649,0,351,544,0,105,0.8382126348228043,0.0,0.6078212290502794,0.0,0.544
L2,game,1e-05,0.1,0.8090062111801242,0.8090062111801242,0.7247191011235955,1.0,0.779,356,644,258,98,521,123,0,0.8090062111801242,0.7247191011235955,0.7021563342318059,1.0,0.779
L2,2-add,1e-05,1e-08,0.8679817905918058,1.0,0.0,0.0,0.572,341,659,0,341,572,0,87,0.8679817905918058,0.0,0.6265060240963856,0.0,0.572
L2,game,1e-05,0.01,0.8491446345256609,0.8491446345256609,0.3081232492997199,1.0,0.656,357,643,110,247,546,97,0,0.8491446345256609,0.3081232492997199,0.6134831460674157,1.0,0.656
L2,2-add,1e-05,1e-08,0.8682634730538922,1.0,0.0,0.0,0.58,332,668,0,332,580,0,88,0.8682634730538922,0.0,0.6359649122807017,0.0,0.58
L1,2-add,1e-05,1e-08,0.9250720461095101,1.0,0.0,0.0,0.642,306,694,0,306,642,0,52,0.9250720461095101,0.0,0.6772151898734177,0.0,0.642
L2,2-add,1e-05,1e-08,0.78,1.0,0.0,0.0,0.546,300,700,0,300,546,0,154,0.78,0.0,0.6453900709219859,0.0,0.546
L1,2-add,1e-05,1e-08,0.9092088197146563,1.0,0.0,0.0,0.701,229,771,0,229,701,0,70,0.9092088197146563,0.0,0.7537634408602151,0.0,0.701
L2,2-add,1e-05,1e-08,0.896414342629482,1.0,0.0,0.0,0.675,247,753,0,247,675,0,78,0.896414342629482,0.0,0.7321041214750542,0.0,0.675
L1,2-add,1e-05,1e-08,0.888208269525268,1.0,0.0,0.0,0.58,347,653,0,347,580,0,73,0.888208269525268,0.0,0.6256742179072277,0.0,0.58
L2,2-add,1e-05,1e-08,0.8579234972677595,1.0,0.0,0.0,0.628,268,732,0,268,628,0,104,0.8579234972677595,0.0,0.7008928571428571,0.0,0.628
L1,2-add,1e-05,1e-08,0.8854337152209493,1.0,0.0,0.0,0.541,389,611,0,389,541,0,70,0.8854337152209493,0.0,0.5817204301075268,0.0,0.541
L2,game,1e-05,1e-05,0.8816568047337278,1.0,0.006172839506172839,0.024390243902439025,0.598,324,676,2,322,596,0,80,0.8816568047337278,0.006172839506172839,0.6492374727668845,0.024390243902439025,0.598
L1,2-add,1e-05,1e-08,0.9018759018759018,1.0,0.0,0.0,0.625,307,693,0,307,625,0,68,0.9018759018759018,0.0,0.6706008583690987,0.0,0.625
L2,2-add,1e-05,1e-10,0.9090909090909091,1.0,0.0,0.0,0.66,274,726,0,274,660,0,66,0.9090909090909091,0.0,0.7066381156316917,0.0,0.66
L2,2-add,1e-05,1e-10,0.7750716332378224,1.0,0.0,0.0,0.541,302,698,0,302,541,0,157,0.7750716332378224,0.0,0.641755634638197,0.0,0.541
L2,2-add,1e-05,1e-10,0.8631284916201117,1.0,0.0,0.0,0.618,284,716,0,284,618,0,98,0.8631284916201117,0.0,0.6851441241685144,0.0,0.618
L2,game,1e-05,1e-08,0.9381443298969072,1.0,0.0,0.0,0.637,321,679,0,321,637,0,42,0.9381443298969072,0.0,0.6649269311064718,0.0,0.637
L2,2-add,1e-05,1e-10,0.8746268656716418,1.0,0.0,0.0,0.586,330,670,0,330,586,0,84,0.8746268656716418,0.0,0.6397379912663755,0.0,0.586
L1,2-add,1e-05,1e-10,0.9022222222222223,1.0,0.0,0.0,0.609,325,675,0,325,609,0,66,0.9022222222222223,0.0,0.6520342612419701,0.0,0.609
L2,2-add,1e-05,1e-10,0.8702928870292888,1.0,0.0,0.0,0.624,283,717,0,283,624,0,93,0.8702928870292888,0.0,0.6879823594266814,0.0,0.624
L1,2-add,1e-05,1e-10,0.9154518950437318,1.0,0.0,0.0,0.628,314,686,0,314,628,0,58,0.9154518950437318,0.0,0.6666666666666666,0.0,0.628
L1,2-add,1e-05,1e-10,0.9358638743455497,1.0,0.0,0.0,0.715,236,764,0,236,715,0,49,0.9358638743455497,0.0,0.7518401682439537,0.0,0.715
L1,2-add,1e-05,1e-10,0.9170243204577968,1.0,0.0,0.0,0.641,301,699,0,301,641,0,58,0.9170243204577968,0.0,0.6804670912951167,0.0,0.641
L1,2-add,1e-05,1e-10,0.9188405797101449,1.0,0.0,0.0,0.634,310,690,0,310,634,0,56,0.9188405797101449,0.0,0.6716101694915254,0.0,0.634
L1,game,1e-05,0.1,0.7218259629101283,0.7238912732474965,0.7424749163879598,0.9910714285714286,0.728,299,701,222,77,506,193,2,0.7218259629101283,0.7424749163879598,0.6520618556701031,0.9910714285714286,0.728
L2,2-add,1e-05,1e-12,0.903663500678426,1.0,0.0,0.0,0.666,263,737,0,263,666,0,71,0.903663500678426,0.0,0.7168998923573735,0.0,0.666
L1,game,1e-05,0.01,0.8272727272727273,0.9115191986644408,0.20294117647058824,0.5307692307692308,0.615,340,660,69,271,546,53,61,0.8272727272727273,0.20294117647058824,0.6275862068965518,0.5307692307692308,0.615
L2,2-add,1e-05,1e-12,0.8890429958391124,1.0,0.0,0.0,0.641,279,721,0,279,641,0,80,0.8890429958391124,0.0,0.6967391304347826,0.0,0.641
L1,2-add,1e-05,1e-12,0.8905109489051095,1.0,0.0,0.0,0.61,315,685,0,315,610,0,75,0.8905109489051095,0.0,0.6594594594594595,0.0,0.61
L2,2-add,1e-05,1e-12,0.841726618705036,1.0,0.0,0.0,0.585,305,695,0,305,585,0,110,0.841726618705036,0.0,0.6573033707865169,0.0,0.585
L1,2-add,1e-05,1e-12,0.9144460028050491,1.0,0.0,0.0,0.652,287,713,0,287,652,0,61,0.9144460028050491,0.0,0.6943556975505857,0.0,0.652
L2,2-add,1e-05,1e-12,0.8724727838258165,1.0,0.0,0.0,0.561,357,643,0,357,561,0,82,0.8724727838258165,0.0,0.6111111111111112,0.0,0.561
L1,2-add,1e-05,1e-12,0.9051282051282051,1.0,0.0,0.0,0.706,220,780,0,220,706,0,74,0.9051282051282051,0.0,0.7624190064794817,0.0,0.706
L2,2-add,1e-05,1e-12,0.8414814814814815,1.0,0.0,0.0,0.568,325,675,0,325,568,0,107,0.8414814814814815,0.0,0.6360582306830908,0.0,0.568
L1,2-add,1e-05,1e-12,0.9050203527815468,1.0,0.0,0.0,0.667,263,737,0,263,667,0,70,0.9050203527815468,0.0,0.7172043010752688,0.0,0.667
L1,2-add,1e-05,1e-12,0.9366576819407008,1.0,0.0,0.0,0.695,258,742,0,258,695,0,47,0.9366576819407008,0.0,0.7292759706190975,0.0,0.695
L1,game,1e-05,1e-05,0.867816091954023,1.0,0.0,0.0,0.604,304,696,0,304,604,0,92,0.867816091954023,0.0,0.6651982378854625,0.0,0.604
L2,2-add,1e-05,1e-15,0.8676258992805755,1.0,0.0,0.0,0.603,305,695,0,305,603,0,92,0.8676258992805755,0.0,0.6640969162995595,0.0,0.603
L2,2-add,1e-05,1e-15,0.7989203778677463,1.0,0.0,0.0,0.592,259,741,0,259,592,0,149,0.7989203778677463,0.0,0.6956521739130435,0.0,0.592
L2,2-add,1e-05,1e-15,0.8671140939597315,1.0,0.0,0.0,0.646,255,745,0,255,646,0,99,0.8671140939597315,0.0,0.7169811320754716,0.0,0.646
L2,2-add,1e-05,1e-15,0.9117647058823529,1.0,0.0,0.0,0.62,320,680,0,320,620,0,60,0.9117647058823529,0.0,0.6595744680851063,0.0,0.62
L2,2-add,1e-05,1e-15,0.8300455235204856,1.0,0.0,0.0,0.547,341,659,0,341,547,0,112,0.8300455235204856,0.0,0.615990990990991,0.0,0.547
L1,2-add,1e-05,1e-15,0.9157458563535912,1.0,0.0,0.0,0.663,276,724,0,276,663,0,61,0.9157458563535912,0.0,0.7060702875399361,0.0,0.663
L1,game,1e-05,1e-08,0.8609929078014185,1.0,0.0,0.0,0.607,295,705,0,295,607,0,98,0.8609929078014185,0.0,0.6729490022172949,0.0,0.607
L1,2-add,1e-05,1e-15,0.892328398384926,1.0,0.0,0.0,0.663,257,743,0,257,663,0,80,0.892328398384926,0.0,0.7206521739130435,0.0,0.663
L1,2-add,1e-05,1e-15,0.9233983286908078,1.0,0.0,0.0,0.663,282,718,0,282,663,0,55,0.9233983286908078,0.0,0.7015873015873015,0.0,0.663
L1,2-add,1e-05,1e-15,0.9097744360902256,1.0,0.0,0.0,0.605,335,665,0,335,605,0,60,0.9097744360902256,0.0,0.6436170212765957,0.0,0.605
L1,2-add,1e-05,1e-15,0.9297218155197657,1.0,0.0,0.0,0.635,317,683,0,317,635,0,48,0.9297218155197657,0.0,0.667016806722689,0.0,0.635
L2,game,1e-05,1e-10,0.9393103448275862,1.0,0.0,0.0,0.681,275,725,0,275,681,0,44,0.9393103448275862,0.0,0.7123430962343096,0.0,0.681
L2,game,1e-05,1e-12,0.8959881129271917,1.0,0.0,0.0,0.603,327,673,0,327,603,0,70,0.8959881129271917,0.0,0.6483870967741936,0.0,0.603
L1,game,1e-05,1e-10,0.8888888888888888,1.0,0.0,0.0,0.648,271,729,0,271,648,0,81,0.8888888888888888,0.0,0.705114254624592,0.0,0.648
L1,game,1e-05,1e-12,0.8920377867746289,1.0,0.0,0.0,0.661,259,741,0,259,661,0,80,0.8920377867746289,0.0,0.7184782608695652,0.0,0.661
L2,game,1e-05,1e-15,0.9357923497267759,1.0,0.0,0.0,0.685,268,732,0,268,685,0,47,0.9357923497267759,0.0,0.7187827911857293,0.0,0.685
L1,game,1e-05,1e-15,0.8812154696132597,1.0,0.0,0.0,0.638,276,724,0,276,638,0,86,0.8812154696132597,0.0,0.6980306345733042,0.0,0.638
L2,game,1e-05,1e-10,0.8273273273273273,1.0,0.0,0.0,0.551,334,666,0,334,551,0,115,0.8273273273273273,0.0,0.6225988700564972,0.0,0.551
L2,game,1e-05,1e-12,0.8637015781922525,1.0,0.0,0.0,0.602,303,697,0,303,602,0,95,0.8637015781922525,0.0,0.6651933701657459,0.0,0.602
L1,game,1e-05,1e-10,0.8579234972677595,1.0,0.0,0.0,0.628,268,732,0,268,628,0,104,0.8579234972677595,0.0,0.7008928571428571,0.0,0.628
L1,game,1e-05,1e-12,0.8163558106169297,1.0,0.0,0.0,0.569,303,697,0,303,569,0,128,0.8163558106169297,0.0,0.6525229357798165,0.0,0.569
L2,game,1e-05,1e-15,0.8726207906295754,1.0,0.0,0.0,0.596,317,683,0,317,596,0,87,0.8726207906295754,0.0,0.6527929901423878,0.0,0.596
L2,game,1e-05,1e-10,0.9104938271604939,1.0,0.0,0.0,0.59,352,648,0,352,590,0,58,0.9104938271604939,0.0,0.6263269639065817,0.0,0.59
L2,game,1e-05,1e-12,0.9055649241146712,1.0,0.0,0.0,0.537,407,593,0,407,537,0,56,0.9055649241146712,0.0,0.5688559322033898,0.0,0.537
L1,game,1e-05,1e-15,0.89280868385346,1.0,0.0,0.0,0.658,263,737,0,263,658,0,79,0.89280868385346,0.0,0.7144408251900108,0.0,0.658
L1,game,1e-05,1e-10,0.878140703517588,1.0,0.0,0.0,0.699,204,796,0,204,699,0,97,0.878140703517588,0.0,0.7740863787375415,0.0,0.699
L1,game,1e-05,1e-12,0.8679504814305364,1.0,0.0,0.0,0.631,273,727,0,273,631,0,96,0.8679504814305364,0.0,0.6980088495575221,0.0,0.631
L2,game,1e-05,1e-15,0.9433681073025335,1.0,0.0,0.0,0.633,329,671,0,329,633,0,38,0.9433681073025335,0.0,0.658004158004158,0.0,0.633
L2,game,1e-05,1e-10,0.9156626506024096,1.0,0.0,0.0,0.684,253,747,0,253,684,0,63,0.9156626506024096,0.0,0.7299893276414088,0.0,0.684
L2,game,1e-05,1e-12,0.933240611961057,1.0,0.0,0.0,0.671,281,719,0,281,671,0,48,0.933240611961057,0.0,0.7048319327731093,0.0,0.671
L1,game,1e-05,1e-15,0.8740849194729137,1.0,0.0,0.0,0.597,317,683,0,317,597,0,86,0.8740849194729137,0.0,0.6531728665207878,0.0,0.597
L1,game,1e-05,1e-10,0.8590425531914894,1.0,0.0,0.0,0.646,248,752,0,248,646,0,106,0.8590425531914894,0.0,0.7225950782997763,0.0,0.646
L2,game,1e-05,1e-15,0.8918495297805643,1.0,0.0,0.0,0.569,362,638,0,362,569,0,69,0.8918495297805643,0.0,0.611170784103115,0.0,0.569
L1,game,1e-05,1e-12,0.868421052631579,1.0,0.0,0.0,0.594,316,684,0,316,594,0,90,0.868421052631579,0.0,0.6527472527472528,0.0,0.594
L2,game,1e-05,1e-10,0.8762589928057554,1.0,0.0,0.0,0.609,305,695,0,305,609,0,86,0.8762589928057554,0.0,0.6663019693654267,0.0,0.609
L2,game,1e-05,1e-12,0.8627167630057804,1.0,0.0,0.0,0.597,308,692,0,308,597,0,95,0.8627167630057804,0.0,0.6596685082872928,0.0,0.597
L1,game,1e-05,1e-15,0.9014844804318488,1.0,0.0,0.0,0.668,259,741,0,259,668,0,73,0.9014844804318488,0.0,0.7206040992448759,0.0,0.668
L2,game,1e-05,1e-15,0.9377713458755427,1.0,0.0,0.0,0.648,309,691,0,309,648,0,43,0.9377713458755427,0.0,0.677115987460815,0.0,0.648
L1,game,1e-05,1e-10,0.8766328011611031,1.0,0.0,0.0,0.604,311,689,0,311,604,0,85,0.8766328011611031,0.0,0.6601092896174864,0.0,0.604
L1,game,1e-05,1e-12,0.9043126684636119,1.0,0.0,0.0,0.671,258,742,0,258,671,0,71,0.9043126684636119,0.0,0.7222820236813778,0.0,0.671
L1,game,1e-05,1e-15,0.863568215892054,1.0,0.0,0.0,0.576,333,667,0,333,576,0,91,0.863568215892054,0.0,0.6336633663366337,0.0,0.576
L2,MacSum,1e-05,0.1,0.33518005540166207,0.3394109396914446,0.9064748201438849,0.9655172413793104,0.494,278,722,252,26,242,471,9,0.33518005540166207,0.9064748201438849,0.3274695534506089,0.9655172413793104,0.494
L2,MacSum,1e-05,0.01,0.4404432132963989,0.4622093023255814,0.6294964028776978,0.8373205741626795,0.493,278,722,175,103,318,370,34,0.4404432132963989,0.6294964028776978,0.4020227560050569,0.8373205741626795,0.493
L2,MacSum,1e-05,1e-08,0.6024930747922438,1.0,0.0,0.0,0.435,278,722,0,278,435,0,287,0.6024930747922438,0.0,0.6100981767180925,0.0,0.435
L1,MacSum,1e-05,0.1,0.45897079276773295,0.4602510460251046,0.9145907473309609,0.9922779922779923,0.587,281,719,257,24,330,387,2,0.45897079276773295,0.9145907473309609,0.44534412955465585,0.9922779922779923,0.587
L2,MacSum,1e-05,1e-05,0.6024930747922438,1.0,0.0,0.0,0.435,278,722,0,278,435,0,287,0.6024930747922438,0.0,0.6100981767180925,0.0,0.435
L1,MacSum,1e-05,1e-05,0.8386648122392212,0.9757281553398058,0.05338078291814947,0.12931034482758622,0.618,281,719,15,266,603,15,101,0.8386648122392212,0.05338078291814947,0.6821266968325792,0.12931034482758622,0.618
L1,MacSum,1e-05,0.01,0.6606397774687065,0.6680731364275668,0.8612099644128114,0.968,0.717,281,719,242,39,475,236,8,0.6606397774687065,0.8612099644128114,0.6333333333333333,0.968,0.717
L1,MacSum,1e-05,1e-08,0.8497913769123783,1.0,0.0,0.0,0.611,281,719,0,281,611,0,108,0.8497913769123783,0.0,0.6849775784753364,0.0,0.611
L2,MacSum,1e-05,0.1,0.5475819032761311,0.5475819032761311,0.8579387186629527,1.0,0.659,359,641,308,51,351,290,0,0.5475819032761311,0.8579387186629527,0.5072254335260116,1.0,0.659
L2,MacSum,1e-05,0.01,0.3826086956521739,0.39580209895052476,0.6709677419354839,0.9004329004329005,0.472,310,690,208,102,264,403,23,0.3826086956521739,0.6709677419354839,0.3433029908972692,0.9004329004329005,0.472
L2,MacSum,1e-05,1e-08,0.5347826086956522,1.0,0.0,0.0,0.369,310,690,0,310,369,0,321,0.5347826086956522,0.0,0.5434462444771723,0.0,0.369
L2,MacSum,1e-05,1e-05,0.6577086280056577,1.0,0.0,0.0,0.465,293,707,0,293,465,0,242,0.6577086280056577,0.0,0.6134564643799473,0.0,0.465
L1,MacSum,1e-05,0.1,0.44169096209912534,0.4442815249266862,0.9363057324840764,0.9865771812080537,0.597,314,686,294,20,303,379,4,0.44169096209912534,0.9363057324840764,0.43162393162393164,0.9865771812080537,0.597
L1,MacSum,1e-05,0.01,0.6718528995756718,0.6718528995756718,0.8122866894197952,1.0,0.713,293,707,238,55,475,232,0,0.6718528995756718,0.8122866894197952,0.6233595800524935,1.0,0.713
L1,MacSum,1e-05,1e-05,0.8302687411598303,0.9544715447154472,0.06484641638225255,0.17117117117117117,0.606,293,707,19,274,587,28,92,0.8302687411598303,0.06484641638225255,0.6602924634420697,0.17117117117117117,0.606
L1,MacSum,1e-05,1e-08,0.8213166144200627,1.0,0.0,0.0,0.524,362,638,0,362,524,0,114,0.8213166144200627,0.0,0.5914221218961625,0.0,0.524
L2,MacSum,1e-05,0.1,0.532394366197183,0.5384615384615384,0.8103448275862069,0.9670781893004116,0.613,290,710,235,55,378,324,8,0.532394366197183,0.8103448275862069,0.49933949801849403,0.9670781893004116,0.613
L2,MacSum,1e-05,0.01,0.47919876733436056,0.5226890756302521,0.7549857549857549,0.8307210031347962,0.576,351,649,265,86,311,284,54,0.47919876733436056,0.7549857549857549,0.4566813509544787,0.8307210031347962,0.576
L2,MacSum,1e-05,1e-08,0.7462908011869436,1.0,0.0,0.0,0.503,326,674,0,326,503,0,171,0.7462908011869436,0.0,0.6067551266586249,0.0,0.503
L2,MacSum,1e-05,1e-05,0.546242774566474,1.0,0.0,0.0,0.378,308,692,0,308,378,0,314,0.546242774566474,0.0,0.5510204081632653,0.0,0.378
L1,MacSum,1e-05,0.1,0.4411764705882353,0.4411764705882353,0.9265536723163842,1.0,0.613,354,646,328,26,285,361,0,0.4411764705882353,0.9265536723163842,0.42410714285714285,1.0,0.613
L1,MacSum,1e-05,0.01,0.6968011126564673,0.6968011126564673,0.797153024911032,1.0,0.725,281,719,224,57,501,218,0,0.6968011126564673,0.797153024911032,0.645618556701031,1.0,0.725
L1,MacSum,1e-05,1e-05,0.7777777777777778,0.9595782073813708,0.0436241610738255,0.08904109589041095,0.559,298,702,13,285,546,23,133,0.7777777777777778,0.0436241610738255,0.639344262295082,0.08904109589041095,0.559
L1,MacSum,1e-05,1e-08,0.8162393162393162,1.0,0.0,0.0,0.573,298,702,0,298,573,0,129,0.8162393162393162,0.0,0.6578645235361653,0.0,0.573
L2,MacSum,1e-05,0.1,0.6261398176291794,0.6261398176291794,0.8333333333333334,1.0,0.697,342,658,285,57,412,246,0,0.6261398176291794,0.8333333333333334,0.5762237762237762,1.0,0.697
L2,MacSum,1e-05,0.01,0.525691699604743,0.6353503184713376,0.4730290456431535,0.46530612244897956,0.513,241,759,114,127,399,229,131,0.525691699604743,0.4730290456431535,0.528476821192053,0.46530612244897956,0.513
L2,MacSum,1e-05,1e-08,0.6330827067669172,1.0,0.0,0.0,0.421,335,665,0,335,421,0,244,0.6330827067669172,0.0,0.5568783068783069,0.0,0.421
L2,MacSum,1e-05,1e-05,0.56657223796034,1.0,0.0,0.0,0.4,294,706,0,294,400,0,306,0.56657223796034,0.0,0.5763688760806917,0.0,0.4
L1,MacSum,1e-05,0.1,0.3938931297709924,0.39509954058192953,0.9159420289855073,0.9937106918238994,0.574,345,655,316,29,258,395,2,0.3938931297709924,0.9159420289855073,0.3782991202346041,0.9937106918238994,0.574
L1,MacSum,1e-05,0.01,0.6050156739811913,0.6156299840510366,0.8674033149171271,0.9661538461538461,0.7,362,638,314,48,386,241,11,0.6050156739811913,0.8674033149171271,0.5718518518518518,0.9661538461538461,0.7
L1,MacSum,1e-05,1e-08,0.8224043715846995,1.0,0.0,0.0,0.602,268,732,0,268,602,0,130,0.8224043715846995,0.0,0.6919540229885057,0.0,0.602
L1,MacSum,1e-05,1e-05,0.798932384341637,0.9782135076252724,0.0867579908675799,0.2695035460992908,0.487,438,562,38,400,449,10,103,0.798932384341637,0.0867579908675799,0.5227008149010477,0.2695035460992908,0.487
L2,MacSum,1e-05,0.01,0.34418604651162793,0.3463338533541342,0.7915492957746478,0.9859649122807017,0.503,355,645,281,74,222,419,4,0.34418604651162793,0.7915492957746478,0.3104895104895105,0.9859649122807017,0.503
L2,MacSum,1e-05,0.1,0.4909365558912387,0.4909365558912387,0.8372781065088757,1.0,0.608,338,662,283,55,325,337,0,0.4909365558912387,0.8372781065088757,0.45327754532775455,1.0,0.608
L2,MacSum,1e-05,1e-08,0.6108663729809104,1.0,0.0,0.0,0.416,319,681,0,319,416,0,265,0.6108663729809104,0.0,0.5659863945578232,0.0,0.416
L2,MacSum,1e-05,1e-05,0.6397849462365591,0.9979035639412998,0.0,0.0,0.476,256,744,0,256,476,1,267,0.6397849462365591,0.0,0.6493860845839018,0.0,0.476
L1,MacSum,1e-05,0.1,0.42097902097902096,0.42334739803094235,0.8947368421052632,0.9845559845559846,0.556,285,715,255,30,301,410,4,0.42097902097902096,0.8947368421052632,0.40620782726045884,0.9845559845559846,0.556
L1,MacSum,1e-05,0.01,0.6263237518910741,0.6263237518910741,0.8938053097345132,1.0,0.717,339,661,303,36,414,247,0,0.6263237518910741,0.8938053097345132,0.593974175035868,1.0,0.717
L1,MacSum,1e-05,1e-08,0.8126801152737753,1.0,0.0,0.0,0.564,306,694,0,306,564,0,130,0.8126801152737753,0.0,0.6482758620689655,0.0,0.564
L1,MacSum,1e-05,1e-05,0.8551336146272855,0.9728,0.0657439446366782,0.18095238095238095,0.627,289,711,19,270,608,17,86,0.8551336146272855,0.0657439446366782,0.6793296089385474,0.18095238095238095,0.627
L2,MacSum,1e-05,1e-10,0.7135416666666666,1.0,0.0,0.0,0.548,232,768,0,232,548,0,220,0.7135416666666666,0.0,0.7025641025641025,0.0,0.548
L1,MacSum,1e-05,1e-12,0.8419618528610354,1.0,0.0,0.0,0.618,266,734,0,266,618,0,116,0.8419618528610354,0.0,0.6990950226244343,0.0,0.618
L2,MacSum,1e-05,1e-12,0.6070901033973413,1.0,0.0,0.0,0.411,323,677,0,323,411,0,266,0.6070901033973413,0.0,0.5599455040871935,0.0,0.411
L1,MacSum,1e-05,1e-10,0.8446475195822454,1.0,0.0,0.0,0.647,234,766,0,234,647,0,119,0.8446475195822454,0.0,0.7343927355278093,0.0,0.647
L2,MacSum,1e-05,1e-15,0.6816326530612244,1.0,0.0,0.0,0.501,265,735,0,265,501,0,234,0.6816326530612244,0.0,0.6540469973890339,0.0,0.501
L1,MacSum,1e-05,1e-15,0.8323442136498517,1.0,0.0,0.0,0.561,326,674,0,326,561,0,113,0.8323442136498517,0.0,0.6324689966178129,0.0,0.561
L2,MacSum,1e-05,1e-10,0.5981912144702842,1.0,0.0,0.0,0.463,226,774,0,226,463,0,311,0.5981912144702842,0.0,0.6719883889695211,0.0,0.463
L2,MacSum,1e-05,1e-12,0.6484490398818316,1.0,0.0,0.0,0.439,323,677,0,323,439,0,238,0.6484490398818316,0.0,0.5761154855643045,0.0,0.439
L1,MacSum,1e-05,1e-10,0.8365243004418262,1.0,0.0,0.0,0.568,321,679,0,321,568,0,111,0.8365243004418262,0.0,0.6389201349831272,0.0,0.568
L1,MacSum,1e-05,1e-12,0.8438818565400844,1.0,0.0,0.0,0.6,289,711,0,289,600,0,111,0.8438818565400844,0.0,0.6749156355455568,0.0,0.6
L2,MacSum,1e-05,1e-15,0.8354792560801144,1.0,0.0,0.0,0.584,301,699,0,301,584,0,115,0.8354792560801144,0.0,0.6598870056497175,0.0,0.584
L1,MacSum,1e-05,1e-15,0.8544891640866873,1.0,0.0,0.0,0.552,354,646,0,354,552,0,94,0.8544891640866873,0.0,0.609271523178808,0.0,0.552
L2,MacSum,1e-05,1e-10,0.6512261580381471,1.0,0.0,0.0,0.478,266,734,0,266,478,0,256,0.6512261580381471,0.0,0.6424731182795699,0.0,0.478
L2,MacSum,1e-05,1e-12,0.7378048780487805,1.0,0.0,0.0,0.484,344,656,0,344,484,0,172,0.7378048780487805,0.0,0.5845410628019324,0.0,0.484
L1,MacSum,1e-05,1e-10,0.8413793103448276,1.0,0.0,0.0,0.61,275,725,0,275,610,0,115,0.8413793103448276,0.0,0.6892655367231638,0.0,0.61
L1,MacSum,1e-05,1e-12,0.8220588235294117,1.0,0.0,0.0,0.559,320,680,0,320,559,0,121,0.8220588235294117,0.0,0.6359499431171786,0.0,0.559
L2,MacSum,1e-05,1e-15,0.6100981767180925,1.0,0.0,0.0,0.435,287,713,0,287,435,0,278,0.6100981767180925,0.0,0.6024930747922438,0.0,0.435
L1,MacSum,1e-05,1e-15,0.7894736842105263,1.0,0.0,0.0,0.51,354,646,0,354,510,0,136,0.7894736842105263,0.0,0.5902777777777778,0.0,0.51
L2,MacSum,1e-05,1e-10,0.5749636098981077,1.0,0.0,0.0,0.395,313,687,0,313,395,0,292,0.5749636098981077,0.0,0.557909604519774,0.0,0.395
L2,MacSum,1e-05,1e-12,0.5557083906464925,1.0,0.0,0.0,0.404,273,727,0,273,404,0,323,0.5557083906464925,0.0,0.5967503692762186,0.0,0.404
L1,MacSum,1e-05,1e-10,0.8535031847133758,1.0,0.0,0.0,0.536,372,628,0,372,536,0,92,0.8535031847133758,0.0,0.5903083700440529,0.0,0.536
L1,MacSum,1e-05,1e-12,0.8211488250652742,1.0,0.0,0.0,0.629,234,766,0,234,629,0,137,0.8211488250652742,0.0,0.7288528389339514,0.0,0.629
L2,MacSum,1e-05,1e-15,0.6695906432748538,1.0,0.0,0.0,0.458,316,684,0,316,458,0,226,0.6695906432748538,0.0,0.5917312661498708,0.0,0.458
L1,MacSum,1e-05,1e-15,0.7764298093587522,1.0,0.0,0.0,0.448,423,577,0,423,448,0,129,0.7764298093587522,0.0,0.5143513203214696,0.0,0.448
L2,MacSum,1e-05,1e-10,0.702523240371846,1.0,0.0,0.0,0.529,247,753,0,247,529,0,224,0.702523240371846,0.0,0.6817010309278351,0.0,0.529
L2,MacSum,1e-05,1e-12,0.6475409836065574,1.0,0.0,0.0,0.474,268,732,0,268,474,0,258,0.6475409836065574,0.0,0.6388140161725068,0.0,0.474
L1,MacSum,1e-05,1e-10,0.8361344537815126,1.0,0.0,0.0,0.597,286,714,0,286,597,0,117,0.8361344537815126,0.0,0.6761041902604756,0.0,0.597
L1,MacSum,1e-05,1e-12,0.8330781010719756,1.0,0.0,0.0,0.544,347,653,0,347,544,0,109,0.8330781010719756,0.0,0.6105499438832772,0.0,0.544
L2,MacSum,1e-05,1e-15,0.7376586741889986,1.0,0.0,0.0,0.523,291,709,0,291,523,0,186,0.7376586741889986,0.0,0.6425061425061425,0.0,0.523
