model,crit,learning_rate,delta,preference_recall,preference_precision,indifference_recall,indifference_precision,total_recall,nb_indifferences,nb_preferences,nb_indiff_vrai,nb_indiff_fausse,nb_pref_vrai,nb_pref_fausse,nb_pref_inverse
L1,game,1e-05,0.01,0.86,0.9162861491628614,0.3,0.6766917293233082,0.692,300,700,90,210,602,55,43
L1,game,1e-05,1e-05,0.8378378378378378,1.0,0.0,0.0,0.558,334,666,0,334,558,0,108
L1,game,1e-05,1e-08,0.8708751793400287,1.0,0.0,0.0,0.607,303,697,0,303,607,0,90
L2,game,1e-05,0.1,0.8667582417582418,0.8667582417582418,0.7242647058823529,1.0,0.828,272,728,197,75,631,97,0
L2,game,1e-05,0.01,0.8738461538461538,0.8738461538461538,0.38285714285714284,1.0,0.702,350,650,134,216,568,82,0
L2,game,1e-05,1e-05,0.9224489795918367,1.0,0.0037735849056603774,0.017241379310344827,0.679,265,735,1,264,678,0,57
L2,game,1e-05,1e-08,0.9331476323119777,1.0,0.0,0.0,0.67,282,718,0,282,670,0,48
L1,game,1e-05,0.1,0.7546174142480211,0.7586206896551724,0.8016528925619835,0.9797979797979798,0.766,242,758,194,48,572,182,4
L1,game,1e-05,0.01,0.8696236559139785,0.9322766570605188,0.32421875,0.6240601503759399,0.73,256,744,83,173,647,47,50
L1,game,1e-05,1e-05,0.8629283489096573,1.0,0.0,0.0,0.554,358,642,0,358,554,0,88
L1,game,1e-05,1e-08,0.8382126348228043,1.0,0.0,0.0,0.544,351,649,0,351,544,0,105
L2,game,1e-05,0.1,0.8090062111801242,0.8090062111801242,0.7247191011235955,1.0,0.779,356,644,258,98,521,123,0
L2,2-add,1e-05,1e-08,0.8679817905918058,1.0,0.0,0.0,0.572,341,659,0,341,572,0,87
L2,game,1e-05,0.01,0.8491446345256609,0.8491446345256609,0.3081232492997199,1.0,0.656,357,643,110,247,546,97,0
L2,2-add,1e-05,1e-08,0.8682634730538922,1.0,0.0,0.0,0.58,332,668,0,332,580,0,88
L1,2-add,1e-05,1e-08,0.9250720461095101,1.0,0.0,0.0,0.642,306,694,0,306,642,0,52
L2,2-add,1e-05,1e-08,0.78,1.0,0.0,0.0,0.546,300,700,0,300,546,0,154
L1,2-add,1e-05,1e-08,0.9092088197146563,1.0,0.0,0.0,0.701,229,771,0,229,701,0,70
L2,2-add,1e-05,1e-08,0.896414342629482,1.0,0.0,0.0,0.675,247,753,0,247,675,0,78
L1,2-add,1e-05,1e-08,0.888208269525268,1.0,0.0,0.0,0.58,347,653,0,347,580,0,73
L2,2-add,1e-05,1e-08,0.8579234972677595,1.0,0.0,0.0,0.628,268,732,0,268,628,0,104
L1,2-add,1e-05,1e-08,0.8854337152209493,1.0,0.0,0.0,0.541,389,611,0,389,541,0,70
L2,game,1e-05,1e-05,0.8816568047337278,1.0,0.006172839506172839,0.024390243902439025,0.598,324,676,2,322,596,0,80
L1,2-add,1e-05,1e-08,0.9018759018759018,1.0,0.0,0.0,0.625,307,693,0,307,625,0,68
